id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20838186,Cosy apartment at Holmlia,148619152,Kristine,,Søndre Nordstrand,59.83397,10.78564,Entire home/apt,501,2,4,2018-08-03,0.31,1,0
20844544,Luxurious apartment high above Tjuvholmen,18871762,Salomon,,Frogner,59.90858,10.72103,Entire home/apt,1071,1,0,,,1,0
20845770,Central room with a beautiful view,31386422,Erlend,,Grünerløkka,59.92714,10.77841,Private room,467,1,53,2018-11-19,3.07,1,208
20846778,Romslig soverom i hjertet av Oslo,7949917,Ole Martin,,St. Hanshaugen,59.92362,10.7462,Private room,501,2,0,,,1,168
20854393,Studio apartment in the heart of Grunerløkka,145279707,Cathrine,,Grünerløkka,59.91984,10.7577,Entire home/apt,501,2,21,2019-02-04,1.19,1,0
20854598,Cosy room for rent,149657128,Sanna,,St. Hanshaugen,59.93513,10.72622,Private room,302,7,0,,,1,0
20858886,A place you can call home,149712767,Marah,,Alna,59.9511,10.90101,Entire home/apt,501,2,0,,,1,0
20860511,City Center - modern 2BD/1BA 6ppl,149729382,Reidun,,Sentrum,59.91259,10.74373,Entire home/apt,1486,1,26,2019-01-05,1.64,1,246
20868265,1 bedroom apartment in the trendiest part of Oslo,149807933,Hanne,,Frogner,59.92668,10.7212,Entire home/apt,501,1,14,2017-11-08,0.82,1,0
20871341,"Koselig overnatting, minimun 2 netter",149842856,Marthe,,Sagene,59.94378,10.75908,Private room,397,2,6,2018-10-01,0.35,1,5
20878693,Cosy apartment with balcony,5491108,Astrid,,Grünerløkka,59.93297,10.77985,Entire home/apt,527,60,5,2018-08-09,0.31,1,0
20879372,"Sentralt, nyoppusset og rolig med balkong!",141500131,Mai-Tori,,Frogner,59.927,10.72353,Entire home/apt,847,2,1,2017-09-17,0.06,1,0
20880786,A beautiful apartment in quiet&central Adamstuen,35287667,Stine,,St. Hanshaugen,59.9322,10.73438,Entire home/apt,898,5,2,2018-09-28,0.25,1,0
20881402,"Ny apartment, sentralt og stille beliggenhet",44896165,Larisa,,Frogner,59.92787,10.72539,Entire home/apt,397,7,1,2017-09-19,0.06,1,0
20881638,Nordic room with easy access from/to the Airport!,149959085,Sarah & Alex,,Grünerløkka,59.92522,10.77528,Private room,501,1,212,2019-02-13,12.23,1,75
20882839,Classic nice apartment close to the city center!,2209718,Roberto,,Sagene,59.93569,10.76446,Entire home/apt,596,3,4,2017-12-03,0.26,1,0
20884551,Cozy modern apartment,149992253,Jonas,,Sagene,59.93189,10.75308,Entire home/apt,510,3,4,2018-05-22,0.25,1,0
20884612,Cozy and quiet room in central Oslo,105079033,Lise,,Gamle Oslo,59.91215,10.76383,Private room,1503,30,11,2018-01-08,0.65,1,0
20893630,Peaceful apartment in hip area of central Oslo,17107686,Mikkel,,Sagene,59.93281,10.76591,Entire home/apt,1002,6,2,2018-08-23,0.12,1,0
20897526,Cozy & trendy appartement at Torshov,150128414,Silje,,Sagene,59.93975,10.77304,Entire home/apt,700,2,6,2018-06-17,0.36,1,0
20899295,"Super Central, high standard in the heart of Oslo",92796929,Markus,,St. Hanshaugen,59.91889,10.74797,Entire home/apt,397,3,5,2018-01-22,0.30,1,0
20901045,"55 sqm modern apt, central location Fredensborg",6844396,Celina,,St. Hanshaugen,59.91981,10.74936,Entire home/apt,1201,5,0,,,2,0
20902231,"Modern and central apartment, with a view.",135228265,Martin,,Grünerløkka,59.92976,10.78226,Entire home/apt,700,1,18,2019-02-08,2.01,1,0
20908164,GODLIA - Vertikaldelt tomannsbolig,61962852,Niko,,Østensjø,59.90851,10.82998,Entire home/apt,838,2,0,,,1,0
20914341,Central apartment in one of Oslo´s best areas,147636552,Olav,,Frogner,59.92441,10.72156,Entire home/apt,432,2,15,2018-07-20,0.88,1,0
20921138,"Apartment with central, calm location at Grefsen",25894937,Anne,,Nordre Aker,59.94334,10.78659,Entire home/apt,596,2,14,2018-08-05,0.82,1,0
20922575,A window to The Botanical Garden,31610359,Tuva,,Grünerløkka,59.92009,10.77183,Entire home/apt,562,3,2,2017-11-05,0.13,1,0
20922605,Hasle Torg - Comfertable Apartment - 52 m2,150391217,Jens Kristoffer,,Grünerløkka,59.92381,10.7928,Entire home/apt,898,2,2,2017-10-10,0.12,1,0
20929131,Sagene/Bjølsen Oslo,80076664,Hanne,,Sagene,59.9397,10.76256,Entire home/apt,847,1,6,2018-08-16,0.65,2,231
20929729,Loftsleilighet med solfylt terrasse,150451412,Torild,,Grünerløkka,59.92025,10.76392,Entire home/apt,898,2,0,,,1,0
20932196,"Cosy family apartment in Majorstuen, central Oslo.",16523068,Claire,,St. Hanshaugen,59.93152,10.72472,Entire home/apt,1296,1,7,2019-01-01,0.42,1,0
20932595,Cozy and quiet apartment in the heart of Oslo,67023944,Oddrun,,Gamle Oslo,59.91422,10.76733,Entire home/apt,501,14,6,2018-10-28,0.40,1,0
20942629,Spacious 3-room apartment on Sagene/Torshov,57115338,Lene,,Sagene,59.94279,10.77395,Entire home/apt,700,2,2,2017-12-29,0.12,1,0
20942649,Small central studio apartment,94405714,Linda,,Frogner,59.91392,10.72126,Entire home/apt,449,2,30,2019-02-03,1.79,1,32
20942780,"Nice, newly refurbished apartment in Oslo",150582187,Olav,,Nordre Aker,59.95471,10.74476,Entire home/apt,484,3,1,2017-10-06,0.06,1,0
20945206,Spacious urban apartment with great location,17257019,Kristin,,Sagene,59.93902,10.76512,Entire home/apt,1572,3,2,2018-07-06,0.12,1,0
20946356,Breathtaking Oceanview,150620102,Alexander,,Nordstrand,59.88117,10.77377,Entire home/apt,803,5,0,,,1,0
20952953,"Cozy little apartment, perfect for exploring Oslo",60352839,Linnea,,Frogner,59.92746,10.71331,Entire home/apt,449,2,37,2018-07-09,2.16,1,0
20957262,Centrally located apartment in Oslo,150728664,Tin,,Sagene,59.93016,10.75251,Entire home/apt,484,3,16,2019-01-29,0.94,1,0
20962628,Cozy and charming - at the heart of Grünerløkka,53518142,Even,,Grünerløkka,59.92427,10.75739,Private room,501,1,8,2017-10-29,0.48,1,0
20962943,The perfect location in a charming neighbourhood.,26422876,Lise,,Sagene,59.93927,10.75475,Entire home/apt,803,1,7,2018-08-11,0.41,1,10
20965230,Beautiful apartment with balcony i central Oslo,53691003,Jostein,,St. Hanshaugen,59.93091,10.73585,Entire home/apt,596,2,1,2018-07-18,0.14,2,3
20965410,Elegant apartment for business travelers.,150740062,Iaroslava,,Frogner,59.92771,10.71508,Private room,2186,1,5,2017-11-09,0.29,1,0
20965953,Light and airy apartment in central St Hanshaugen,24046809,Catherine,,St. Hanshaugen,59.92425,10.73629,Entire home/apt,847,29,1,2018-10-01,0.21,1,136
20966988,Leilighet på Vålerenga,38026018,Asle,,Gamle Oslo,59.90778,10.79214,Entire home/apt,803,1,4,2017-10-15,0.24,1,0
20974591,"Leilighet for 2 personer - Løren 0580, Oslo By",44019748,Julie,,Bjerke,59.93433,10.80288,Private room,251,7,1,2017-09-22,0.06,1,0
20976870,Nice and cozy apartment near city centre in Oslo.,53134549,Steinar,,St. Hanshaugen,59.92626,10.73154,Entire home/apt,579,2,81,2019-02-15,4.88,1,11
20980023,Koselig studio leilighet,136085396,Hedda,,Ullern,59.92235,10.63516,Entire home/apt,449,3,13,2019-01-31,2.06,1,164
