,id,name,price,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,guests_included,availability_365,neighbourhood,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,latitude,longitude,review_scores_value,bed_type,room_type,cancellation_policy,property_type
37,465035,Cosy and spacious in central Oslo,1175.0,2,0.5,2.0,2.0,1700.0,0.0,2,200.0,2,120,2,0,Sagene,62,90.0,9.0,10.0,10.0,9.0,59.9385,10.759310000000001,9.0,Real Bed,Entire home/apt,moderate,House
38,486450,"Grünerløkka. Modern 2 bedrooms, top floor apt.",1175.0,4,1.0,2.0,2.0,0.0,0.0,1,0.0,2,40,1,0,Grünerløkka,9,98.0,10.0,10.0,10.0,9.0,59.91953,10.760539999999999,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
39,500008,"10 min to Oslo Central Station, Garden Fjord view",873.0,4,1.0,2.0,4.0,2000.0,450.0,2,0.0,2,90,2,72,Nordstrand,71,93.0,10.0,10.0,10.0,9.0,59.885690000000004,10.7698,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
40,504052,Bright apartment with amazing view!,406.0,2,1.0,1.0,1.0,825.0,300.0,2,0.0,2,21,2,7,Sagene,2,70.0,8.0,9.0,9.0,6.0,59.932430000000004,10.768889999999999,8.0,Real Bed,Entire home/apt,moderate,Apartment
41,536417,Unique loft in the heart of Oslo,1503.0,2,1.0,1.0,1.0,0.0,500.0,2,300.0,2,14,2,365,Grünerløkka,11,96.0,9.0,10.0,10.0,10.0,59.922059999999995,10.75576,9.0,Real Bed,Private room,strict_14_with_grace_period,Loft
42,542452,"Urban, bright and central with quiet room",475.0,2,1.0,1.0,1.0,0.0,146.0,1,146.0,1,10,1,0,Grünerløkka,89,99.0,10.0,10.0,10.0,10.0,59.919219999999996,10.75423,10.0,Real Bed,Private room,moderate,Apartment
43,563916,In the very heart of Oslo #2,432.0,4,1.5,2.0,2.0,2592.0,0.0,1,216.0,2,30,1,213,Majorstuen,30,99.0,10.0,10.0,10.0,10.0,59.92115,10.73073,10.0,Real Bed,Private room,moderate,Apartment
44,565671,Light and spacious apartment,847.0,4,1.0,2.0,2.0,2200.0,0.0,1,0.0,2,7,1,0,Grünerløkka,4,91.0,9.0,9.0,10.0,9.0,59.92876999999999,10.77491,9.0,Real Bed,Entire home/apt,flexible,Apartment
45,567731,"Lovely loft central, near metro and uni",484.0,2,0.5,1.0,1.0,0.0,0.0,2,0.0,2,7,2,167,Nordre Aker,105,96.0,10.0,10.0,10.0,9.0,59.938140000000004,10.701139999999999,9.0,Real Bed,Private room,flexible,House
46,580690,A home with a view,1002.0,4,2.0,2.0,2.0,0.0,500.0,1,0.0,7,14,1,208,Nordstrand,0,100.0,10.0,10.0,10.0,10.0,59.88321,10.789769999999999,10.0,Real Bed,Entire home/apt,moderate,House
47,584874,Nice and cozy 1BR central apartment,803.0,3,1.0,1.0,1.0,0.0,300.0,1,100.0,3,14,1,0,Grünerløkka,19,96.0,10.0,10.0,10.0,10.0,59.9236,10.75624,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
48,588353,Beste stedet å bo i Oslo sentrum!,302.0,4,1.0,1.0,2.0,0.0,200.0,2,150.0,2,1125,2,214,Grünerløkka,468,90.0,9.0,9.0,9.0,10.0,59.92159,10.76946,9.0,Real Bed,Entire home/apt,flexible,Apartment
49,588444,"Great location, central and clean!",1002.0,1,1.0,1.0,1.0,0.0,50.0,1,0.0,89,90,1,365,Gamle Oslo,0,100.0,10.0,10.0,10.0,10.0,59.91652,10.766589999999999,10.0,Real Bed,Private room,flexible,Apartment
50,590834,"Nice apartment, close to tram, bus and train",587.0,2,1.0,1.0,1.0,0.0,0.0,1,0.0,7,1125,1,89,Grefsen,6,96.0,9.0,10.0,10.0,9.0,59.96321999999999,10.77838,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
51,613873,Loft in a stable,1296.0,2,1.0,1.0,1.0,0.0,0.0,1,0.0,1,1125,1,364,Grünerløkka,12,96.0,10.0,10.0,10.0,10.0,59.92205,10.75887,10.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Loft
52,620869,Cozy room for 1 or 2 in bright apt.,337.0,2,1.0,1.0,1.0,1500.0,120.0,1,120.0,2,95,1,1,Grünerløkka,90,98.0,9.0,10.0,10.0,9.0,59.93231,10.79181,10.0,Real Bed,Private room,strict_14_with_grace_period,Apartment
53,631469,Perfect for sightseeing in the heart of Oslo,803.0,2,1.0,0.0,2.0,4500.0,590.0,1,0.0,2,8,1,265,St. Hanshaugen,10,91.0,10.0,9.0,10.0,9.0,59.921980000000005,10.73713,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
54,634884,"Central, Clean, Chic, Cozy & WIFI",484.0,2,1.0,1.0,2.0,0.0,150.0,1,200.0,1,3,1,72,Gamle Oslo,258,98.0,10.0,10.0,10.0,9.0,59.91385,10.76332,10.0,Real Bed,Private room,moderate,Loft
55,636302,Central charming appartment,916.0,5,1.0,2.0,3.0,1000.0,500.0,1,0.0,3,500,1,5,Nordstrand,1,100.0,10.0,10.0,8.0,6.0,59.879459999999995,10.775089999999999,10.0,Real Bed,Entire home/apt,moderate,Apartment
56,644353,In the heart of Oslo I,553.0,2,1.0,1.0,1.0,1000.0,0.0,2,200.0,2,30,2,302,St. Hanshaugen,127,99.0,9.0,10.0,10.0,10.0,59.92024,10.74194,10.0,Futon,Private room,moderate,Apartment
57,664642,Spacious 4 bedroom (5/6 beds) flat in central Oslo,933.0,8,1.0,4.0,6.0,1950.0,0.0,1,250.0,1,20,1,306,St. Hanshaugen,139,87.0,7.0,10.0,10.0,9.0,59.92321,10.74085,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
58,672181,Nice apartment in Grünerløkka.,553.0,2,1.0,1.0,1.0,1500.0,550.0,1,50.0,1,180,1,0,Grünerløkka,1,80.0,8.0,10.0,10.0,10.0,59.9201,10.76839,10.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
59,688070,Oslo City - I ONLY ACCEPT WOMEN!,346.0,2,1.0,1.0,1.0,0.0,100.0,1,349.0,2,1125,1,248,Gamle Oslo,95,97.0,10.0,10.0,10.0,10.0,59.91265,10.75837,10.0,Real Bed,Private room,strict_14_with_grace_period,Apartment
